Sample	AlignsTo	IsMaternal	Mother
simXmel_cyc14C_rep2_sl02_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl02_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl03_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl03_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl04_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl04_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl05_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl05_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl06_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl06_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl07_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl07_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl08_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl08_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl09_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl09_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl10_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl10_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl11_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl11_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl12_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl12_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl13_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl13_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl14_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl14_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl15_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl15_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl16_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl16_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl17_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl17_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl18_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl18_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl19_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl19_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl20_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl20_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl21_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl21_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl22_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl22_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl23_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl23_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl24_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl24_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl25_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl25_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl26_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl26_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl27_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl27_ref	ref	FALSE	sim
